year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
0,1976,Feb,Fri,0,Lagos,Lagos,Assassination,Government (General),Nigeria,Firearms
1,1980,Jan,Thu,0,Kaduna,Kaduna,Unknown,Government (Diplomatic),Great Britain,Unknown
2,1983,Nov,Fri,0,Unknown,Unknown,Assassination,Government (General),Nigeria,Unknown
3,1983,Nov,Sun,0,Lagos,Lagos,Assassination,Government (General),Nigeria,Unknown
4,1983,Nov,Tue,0,Lagos,Lagos,Assassination,Government (General),Nigeria,Firearms
5,1988,Jan,Sat,0,Lagos,Lagos,Assassination,Government (Diplomatic),Libya,Firearms
6,1988,Mar,Sun,0,Lagos,Lagos,Assassination,Educational Institution,Saudi Arabia,Firearms
7,1991,Mar,Thu,0,Katsina,Unknown,Facility/Infrastructure Attack,Journalists & Media,Nigeria,Incendiary
8,1991,Aug,Fri,0,Zamfara,Gusau City,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
9,1991,Oct,Mon,0,Kano,Kano,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Firearms
10,1992,May,Fri,0,Katsina,Katsina,Unarmed Assault,Police,Nigeria,Melee
11,1992,Feb,Wed,0,Akwa Ibom,Utan Brama,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
12,1992,Feb,Sat,0,Edo,Benin City,Assassination,Government (General),Nigeria,Firearms
13,1992,Mar,Fri,0,Taraba,Jalingo,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Firearms
14,1992,May,Thu,0,Lagos,Lagos,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
15,1992,May,Fri,0,Ondo,Akure,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
16,1992,May,Sun,0,Kaduna,Kaduna,Armed Assault,Private Citizens & Property,Nigeria,Firearms
17,1992,May,Sun,0,Kaduna,Zango-Kataf,Armed Assault,Private Citizens & Property,Nigeria,Firearms
18,1992,May,Thu,0,Lagos,Lagos,Armed Assault,Business,Nigeria,Melee
19,1992,May,Thu,1,Lagos,Lagos,Hostage Taking (Kidnapping),Business,Great Britain,Firearms
20,1992,Dec,Sun,0,Lagos,Lagos,Assassination,Government (Diplomatic),Australia,Firearms
21,1994,Sep,Fri,0,Bayelsa,Brass area,Armed Assault,Maritime,Nigeria,Firearms
22,1994,Dec,Mon,0,Cross River,Calabar district,Armed Assault,Military,Nigeria,Firearms
23,1994,Aug,Sat,0,Lagos,Lagos,Bombing/Explosion,Government (General),Nigeria,Explosives
24,1994,Aug,Sat,0,Lagos,Lagos,Bombing/Explosion,Government (General),Nigeria,Explosives
25,1994,Feb,Wed,0,Abuja,Abuja,Bombing/Explosion,Government (General),Nigeria,Explosives
26,1994,Sep,Mon,0,Lagos,Lagos,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
27,1994,Sep,Wed,0,Kaduna,Kaduna,Bombing/Explosion,Government (General),Nigeria,Explosives
28,1994,Sep,Fri,0,Kaduna,Kaduna,Bombing/Explosion,Government (General),Nigeria,Explosives
29,1995,Jun,Sat,0,Lagos,Lagos,Assassination,Government (General),Nigeria,Firearms
30,1996,Jan,Wed,0,Kano,Kano,Bombing/Explosion,Government (General),Nigeria,Explosives
31,1996,Jan,Thu,0,Kaduna,Kabuna,Bombing/Explosion,Business,Nigeria,Explosives
32,1996,Feb,Fri,0,Lagos,Lagos,Assassination,Journalists & Media,Nigeria,Firearms
33,1996,Apr,Sat,0,Lagos,Lagos,Bombing/Explosion,Military,Nigeria,Explosives
34,1996,Jan,Fri,0,Lagos,Lagos,Armed Assault,Military,Nigeria,Incendiary
35,1996,May,Thu,0,Lagos,Lagos,Assassination,Business,Nigeria,Firearms
36,1996,May,Fri,0,Kaduna,Kabuna,Bombing/Explosion,Business,Nigeria,Explosives
37,1996,Apr,Sat,0,Lagos,Lagos,Assassination,Government (General),Nigeria,Firearms
38,1996,Nov,Thu,0,Lagos,Lagos,Bombing/Explosion,Unknown,Nigeria,Explosives
39,1996,Dec,Mon,0,Lagos,Lagos,Assassination,Military,Nigeria,Explosives
40,1996,Dec,Wed,0,Lagos,Lagos,Bombing/Explosion,Transportation,Nigeria,Explosives
41,1997,Apr,Tue,0,Lagos,Lagoa,Armed Assault,Government (General),Nigeria,Firearms
42,1997,Jul,Tue,0,Lagos,Lagos,Bombing/Explosion,Military,Nigeria,Explosives
43,1997,Dec,Tue,0,Lagos,Lagos,Bombing/Explosion,Military,Nigeria,Explosives
44,1997,Nov,Mon,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,France,Unknown
45,1997,Jul,Sat,0,Lagos,Lagos,Bombing/Explosion,Military,Nigeria,Explosives
46,1997,Dec,Fri,0,Oyo,Ibadan,Bombing/Explosion,Military,Nigeria,Explosives
47,1997,May,Fri,0,Anambra,Onitcha,Bombing/Explosion,Unknown,Nigeria,Explosives
48,1997,May,Fri,0,Anambra,Onitsha,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
49,1997,Jun,Sun,0,Rivers,Port Harcourt,Bombing/Explosion,Unknown,Unknown,Explosives
50,1997,Aug,Fri,0,Lagos,Lagos,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
51,1997,Aug,Wed,0,Osun,Ife,Armed Assault,Private Citizens & Property,Nigeria,Firearms
52,1997,Aug,Wed,0,Osun,Ife,Armed Assault,Private Citizens & Property,Nigeria,Firearms
53,1997,Aug,Wed,0,Osun,Ife,Armed Assault,Private Citizens & Property,Nigeria,Firearms
54,1997,Aug,Wed,0,Osun,Ife,Armed Assault,Private Citizens & Property,Nigeria,Firearms
55,1997,Feb,Sun,0,Ekiti,Ado-Ekiti,Bombing/Explosion,Military,Nigeria,Explosives
56,1997,Sep,Wed,0,Delta,Warri,Hostage Taking (Kidnapping),Military,Nigeria,Unknown
57,1997,Sep,Fri,0,Lagos,Lagos,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
58,1997,Sep,Thu,0,Ondo,Ondo,Bombing/Explosion,Government (General),Nigeria,Explosives
59,1997,Feb,Wed,0,Osun,Ife,Armed Assault,Private Citizens & Property,Nigeria,Firearms
60,1997,Jun,Thu,0,Osun,Ife,Armed Assault,Private Citizens & Property,Nigeria,Firearms
61,1998,Apr,Fri,0,Osun,Ife,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
62,1998,Apr,Fri,0,Lagos,Lagos,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
63,1999,Sep,Thu,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Great Britain,Unknown
64,1999,Feb,Sun,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Great Britain,Unknown
65,1999,May,Tue,0,Delta,Unknown,Armed Assault,Business,Netherlands,Unknown
66,1999,Jun,Sat,1,Delta,Kantu,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
67,1999,Jun,Sat,1,Taraba,Unknown,Armed Assault,Private Citizens & Property,Nigeria,Melee
68,1999,Jun,Sun,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,International,Unknown
69,1999,Aug,Sat,0,Unknown,Egwa,Hostage Taking (Kidnapping),Business,United States,Unknown
70,1999,Jul,Tue,1,Unknown,Osoko,Facility/Infrastructure Attack,Business,Multinational,Unknown
71,1999,Aug,Tue,1,Unknown,Unknown,Facility/Infrastructure Attack,Business,United States,Firearms
72,1999,Oct,Sat,1,Delta,Warri,Hostage Taking (Kidnapping),Business,Multinational,Unknown
73,1999,Jan,Mon,1,Rivers,Bonny,Facility/Infrastructure Attack,Maritime,United States,Firearms
74,1999,Apr,Sun,1,Bayelsa,Ijaw,Hostage Taking (Kidnapping),Police,Nigeria,Unknown
75,1999,Aug,Wed,1,Delta,Escravos,Facility/Infrastructure Attack,Maritime,Belize,Melee
76,1999,Nov,Sat,1,Delta,Warri,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
77,1999,Nov,Sat,0,Delta,Warri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
78,1999,Nov,Sat,0,Delta,Unknown,Armed Assault,Military,Nigeria,Firearms
79,1999,Nov,Sat,0,Delta,Unknown,Armed Assault,Military,Nigeria,Firearms
80,1999,Nov,Mon,0,Delta,Ekakpamre,Unknown,Business,Multinational,Unknown
81,2000,Apr,Sat,0,Lagos,Lagos,Unarmed Assault,Police,Nigeria,Chemical
82,2000,Mar,Tue,1,Lagos,Lagos,Facility/Infrastructure Attack,Business,Multinational,Firearms
83,2000,Jul,Tue,0,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Private Citizens & Property,Great Britain,Firearms
84,2000,Apr,Fri,1,Delta,Warri,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
85,2000,Jun,Sun,1,Delta,Escravos,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Unknown
86,2000,Jul,Mon,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Multinational,Unknown
87,2001,Oct,Sat,0,Bayelsa,Unknown,Bombing/Explosion,Government (General),Nigeria,Explosives
88,2001,Jun,Wed,1,Rivers,Finima,Hostage Taking (Kidnapping),Business,Nigeria,Unknown
89,2001,Aug,Sun,0,Lagos,Ikorodu,Facility/Infrastructure Attack,Police,Nigeria,Firearms
90,2001,Dec,Mon,0,Enugu,Abia,Armed Assault,Police,Nigeria,Firearms
91,2001,Dec,Sun,0,Oyo,Ibadan,Assassination,Government (General),Nigeria,Firearms
92,2002,Feb,Fri,0,Taraba,Donga,Armed Assault,Private Citizens & Property,Nigeria,Firearms
93,2002,Aug,Fri,0,Ogun,Ayetoro,Assassination,Government (General),Nigeria,Firearms
94,2002,Sep,Sun,0,Kano,Kano,Assassination,Government (General),Nigeria,Firearms
95,2002,Feb,Mon,0,Plateau,Namaran,Armed Assault,Government (General),Nigeria,Melee
96,2002,Nov,Fri,0,Kwara,Ilorin,Bombing/Explosion,Journalists & Media,Nigeria,Explosives
97,2002,Dec,Fri,0,Plateau,Jos,Armed Assault,Private Citizens & Property,Nigeria,Firearms
98,2003,Feb,Sun,0,Lagos,Lagos,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
99,2003,Aug,Sat,0,Imo,Owerri,Assassination,Private Citizens & Property,Nigeria,Firearms
100,2003,Aug,Mon,0,Delta,Warri,Bombing/Explosion,Business,United States,Explosives
101,2003,Apr,Mon,0,Delta,Warri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
102,2003,Apr,Sat,1,Unknown,Unknown,Hostage Taking (Barricade Incident),Business,United States,Unknown
103,2003,May,Sat,0,Delta,Warri,Bombing/Explosion,Utilities,United States,Explosives
104,2003,Jul,Sun,1,Delta,Warri,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
105,2003,Nov,Wed,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,United States,Firearms
106,2003,Nov,Thu,1,Delta,Warri,Hostage Taking (Kidnapping),Business,International,Firearms
107,2004,Jul,Thu,0,Abuja,Abuja,Assassination,Military,Nigeria,Firearms
108,2004,Aug,Sun,0,Rivers,Port Harcourt,Armed Assault,Private Citizens & Property,Nigeria,Firearms
109,2004,Sep,Wed,0,Delta,Warri,Armed Assault,Maritime,Nigeria,Firearms
110,2004,Aug,Tue,0,Kogi,Lokoja,Assassination,Government (General),Nigeria,Firearms
111,2004,Apr,Thu,0,Delta,Warri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
112,2004,Sep,Fri,1,Borno,Kala-Balge,Armed Assault,Police,Nigeria,Firearms
113,2005,Mar,Tue,0,Edo,Iyanomo,Armed Assault,Military,Nigeria,Firearms
114,2005,May,Thu,0,Bauchi,Nabordo,Armed Assault,Utilities,Nigeria,Firearms
115,2005,May,Fri,1,Sokoto,Sokoto,Armed Assault,Private Citizens & Property,Nigeria,Melee
116,2005,Jun,Wed,1,Delta,Warri,Hostage Taking (Kidnapping),Business,Germany,Unknown
117,2005,Jun,Thu,1,Bayelsa,Unknown,Hostage Taking (Kidnapping),Business,Nigeria,Unknown
118,2005,Sep,Thu,0,Rivers,Akututuru district,Facility/Infrastructure Attack,Utilities,United States,Firearms
119,2005,Dec,Tue,0,Rivers,Agba Okwan Asarama,Bombing/Explosion,Business,United States,Explosives
120,2005,Dec,Wed,0,Edo,Ehor,Bombing/Explosion,Business,Nigeria,Explosives
121,2005,Dec,Mon,0,Delta,Adeje,Bombing/Explosion,Business,Nigeria,Explosives
122,2006,Nov,Wed,0,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Multinational,Firearms
123,2006,Jan,Tue,0,Rivers,Port Harcourt,Armed Assault,Business,Italy,Firearms
124,2006,Jan,Sun,0,Kano,Kano,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
125,2006,Jan,Sun,0,Rivers,Port Harcourt,Armed Assault,Business,South Korea,Firearms
126,2006,Mar,Fri,0,Bayelsa,Unknown,Facility/Infrastructure Attack,Utilities,Multinational,Sabotage Equipment
127,2006,Apr,Wed,0,Rivers,Port Harcourt,Bombing/Explosion,Military,Nigeria,Explosives
128,2006,Oct,Thu,0,Rivers,Port Harcourt,Armed Assault,Business,United States,Firearms
129,2006,Nov,Sun,0,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,Italy,Unknown
130,2006,Dec,Tue,0,Lagos,Atlas Creek Island,Bombing/Explosion,Utilities,Nigeria,Explosives
131,2006,May,Sun,0,Rivers,Port Harcourt,Armed Assault,Police,Nigeria,Firearms
132,2006,Feb,Mon,1,Delta,Warri district,Hostage Taking (Kidnapping),Business,Norway,Firearms
133,2006,Jul,Thu,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,South Korea,Explosives
