year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
2014,Feb,Thu,0,Borno,Bui,Armed Assault,Military,Nigeria,Firearms
2011,Apr,Mon,0,Yobe,Damaturu,Bombing/Explosion,Police,Nigeria,Explosives
2021,Jun,Sat,0,Borno,Bulabulin,Armed Assault,Military,Nigeria,Firearms
2012,Jul,Fri,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2019,Jun,Mon,0,Borno,Ngamgam,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Nov,Fri,0,Borno,Maiduguri,Bombing/Explosion,Police,Nigeria,Explosives
2013,Apr,Sat,0,Plateau,Unknown,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
2018,Nov,Tue,0,Borno,Kauwa,Unknown,Military,Nigeria,Unknown
2019,Mar,Thu,0,Borno,Gajiganna,Armed Assault,Military,Nigeria,Firearms
2017,Feb,Wed,0,Adamawa,Mildu,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2020,Aug,Mon,0,Borno,Magumeri,Armed Assault,Military,Nigeria,Firearms
2012,Jun,Sun,1,Edo,Benin City,Armed Assault,Educational Institution,Nigeria,Firearms
2015,Feb,Fri,0,Abuja,Kubwa,Armed Assault,Police,Nigeria,Firearms
2014,Mar,Tue,0,Benue,Agena,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Jan,Tue,0,Taraba,Wurojam,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Feb,Sat,0,Borno,Gajigana,Unknown,Military,Nigeria,Unknown
2015,Feb,Thu,0,Borno,Gatamarwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2011,Aug,Sat,0,Bauchi,Unknown,Armed Assault,Police,Nigeria,Firearms
2020,Mar,Mon,0,Kaduna,Katarma,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Aug,Tue,0,Borno,Gajibo,Armed Assault,Military,Nigeria,Firearms
2017,Oct,Mon,0,Kogi,Eika,Armed Assault,Police,Nigeria,Firearms
2017,Mar,Fri,1,Edo,Unknown,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2020,Sep,Thu,0,Plateau,Gwol,Armed Assault,Business,Nigeria,Firearms
2021,Jul,Mon,0,Rivers,Emuoha district,Armed Assault,Police,Nigeria,Firearms
2008,May,Thu,0,Rivers,Port Harcourt,Armed Assault,Utilities,Nigeria,Firearms
2016,Oct,Sat,0,Kogi,Lokoja,Assassination,Private Citizens & Property,Nigeria,Firearms
2015,Sep,Wed,0,Adamawa,Bakin Dutse,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
2012,Jan,Mon,0,Yobe,Damaturu,Armed Assault,Private Citizens & Property,Chad,Firearms
2000,Apr,Fri,1,Delta,Warri,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2018,Mar,Wed,1,Kogi,Ojuole,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,May,Fri,0,Benue,Tse Agbulu,Armed Assault,Private Citizens & Property,Nigeria,Melee
2014,Mar,Sun,0,Borno,Jakana,Bombing/Explosion,Military,Nigeria,Explosives
2013,Apr,Tue,0,Abuja,Garki,Bombing/Explosion,Government (General),Nigeria,Explosives
2012,Jul,Tue,0,Kano,Kano,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2016,Oct,Tue,0,Delta,Warri South-West district,Bombing/Explosion,Utilities,Nigeria,Explosives
2011,Aug,Sun,0,Bauchi,Bauchi,Bombing/Explosion,Police,Nigeria,Explosives
2015,Jan,Fri,0,Borno,Tungushe,Armed Assault,Military,Nigeria,Explosives
2014,Aug,Mon,0,Nasarawa,Arikya-Soni,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jul,Thu,1,Kaduna,Zaria,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2017,Jun,Mon,0,Adamawa,Tsamiya,Bombing/Explosion,Unknown,Nigeria,Explosives
2003,Nov,Wed,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,United States,Firearms
2014,Jan,Fri,0,Delta,Forcados,Facility/Infrastructure Attack,Utilities,Nigeria,Unknown
2014,Nov,Wed,0,Plateau,Jos,Bombing/Explosion,Business,Nigeria,Explosives
2019,Apr,Tue,0,Zamfara,Wonaka,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2021,Mar,Mon,0,Akwa Ibom,Ikot Afanga,Armed Assault,Police,Nigeria,Incendiary
2020,Jan,Tue,1,Borno,Mainok,Armed Assault,Military,Nigeria,Firearms
2016,Apr,Thu,0,Delta,Warri,Bombing/Explosion,Utilities,Nigeria,Explosives
2019,Apr,Tue,0,Borno,Kauwa,Armed Assault,Military,International,Explosives
2012,Oct,Fri,0,Yobe,Potiskum,Bombing/Explosion,Telecommunication,Nigeria,Explosives
2020,Sep,Sun,0,Nasarawa,Kainyehu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2013,Aug,Thu,0,Lagos,Akowonjo,Facility/Infrastructure Attack,Business,Nigeria,Incendiary
2019,Sep,Fri,0,Borno,Dikwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Jun,Sun,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2021,Jan,Tue,1,Ebonyi,Abaomege,Armed Assault,Police,Nigeria,Firearms
2015,Jul,Fri,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2020,Mar,Sun,1,Kaduna,Ungwar Yaku,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,May,Mon,0,Bayelsa,Yenagoa,Armed Assault,Police,Nigeria,Firearms
2018,Jan,Wed,0,Taraba,Danwaza,Unknown,Private Citizens & Property,Nigeria,Unknown
2013,Nov,Tue,1,Bayelsa,Akassa,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2017,Oct,Sun,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2013,Mar,Wed,0,Plateau,Mavo,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,May,Tue,0,Benue,Unknown,Unknown,Private Citizens & Property,Nigeria,Unknown
2015,Aug,Sun,1,Ebonyi,Abakaliki,Hostage Taking (Kidnapping),Religious Figures/Institutions,Nigeria,Firearms
2016,Nov,Sat,0,Borno,Makalama,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2012,Nov,Fri,0,Yobe,Potiskum,Armed Assault,Business,Nigeria,Firearms
2012,Oct,Wed,0,Yobe,Potiskum,Armed Assault,Government (General),Nigeria,Firearms
1996,Dec,Mon,0,Lagos,Lagos,Assassination,Military,Nigeria,Explosives
2019,Jan,Thu,0,Borno,Unknown,Armed Assault,Military,Nigeria,Firearms
2017,Apr,Wed,0,Borno,Mandarari,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Mar,Wed,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2013,Sep,Sun,0,Yobe,Gujba,Armed Assault,Educational Institution,Nigeria,Firearms
2015,Dec,Sun,0,Borno,Maiduguri,Bombing/Explosion,Business,Nigeria,Explosives
2012,Dec,Tue,0,Yobe,Potiskum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Mar,Tue,0,Delta,Ashaka,Armed Assault,Police,Nigeria,Firearms
2011,Mar,Tue,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jul,Sat,0,Plateau,Kakuruk,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Sun,0,Borno,Kukawa district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Aug,Sun,0,Niger,Ashirika,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jun,Sun,0,Kaduna,Zaria,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2019,Jul,Sun,0,Katsina,Pawwa,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2017,Apr,Sat,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2017,Nov,Tue,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2009,Aug,Fri,0,Bayelsa,Nembe district,Bombing/Explosion,Utilities,Netherlands,Explosives
2012,Jan,Fri,0,Yobe,Dowara Mashara,Armed Assault,Business,Nigeria,Firearms
2014,Feb,Mon,1,Bauchi,Darazo,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,Jun,Wed,1,Cross River,Calabar,Hostage Taking (Kidnapping),Business,Multinational,Firearms
2017,Jan,Sun,0,Kaduna,Gidan Waya,Armed Assault,Transportation,Nigeria,Firearms
2012,May,Tue,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,May,Wed,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2015,Jul,Wed,1,Borno,Kukawa district,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2016,Jul,Sat,0,Benue,Tom Anyiin,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Jun,Sun,0,Plateau,Gindin Akwati,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Feb,Mon,0,Plateau,Riyom district,Unknown,Private Citizens & Property,Nigeria,Unknown
2018,Dec,Mon,0,Yobe,Kukareta,Armed Assault,Military,Nigeria,Firearms
2021,Aug,Fri,1,Kwara,Faje,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Unknown
2017,May,Sun,0,Taraba,Tukun Ruwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
